,time,open,high,low,close,tick_volume,spread,real_volume
2410,2023-09-21 23:00:00,1919.74,1919.98,1919.49,1919.56,284,26,0
2411,2023-09-21 23:15:00,1919.58,1920.17,1919.52,1919.81,233,26,0
2412,2023-09-21 23:30:00,1919.82,1919.88,1919.58,1919.75,195,28,0
2413,2023-09-21 23:45:00,1919.74,1920.1,1919.74,1919.89,165,29,0
2414,2023-09-22 01:00:00,1919.63,1920.08,1919.0,1919.91,188,26,0
2415,2023-09-22 01:15:00,1919.92,1920.19,1919.84,1920.18,140,34,0
2416,2023-09-22 01:30:00,1920.19,1920.26,1919.93,1920.04,211,38,0
2417,2023-09-22 01:45:00,1920.03,1920.23,1920.02,1920.02,138,36,0
2418,2023-09-22 02:00:00,1920.02,1920.87,1919.97,1920.3,310,27,0
2419,2023-09-22 02:15:00,1920.38,1920.84,1920.03,1920.54,349,31,0
2420,2023-09-22 02:30:00,1920.56,1921.05,1920.3,1920.9,310,33,0
2421,2023-09-22 02:45:00,1920.93,1921.43,1920.93,1921.26,265,32,0
2422,2023-09-22 03:00:00,1921.26,1921.64,1921.09,1921.26,383,31,0
2423,2023-09-22 03:15:00,1921.25,1921.65,1921.15,1921.55,407,32,0
2424,2023-09-22 03:30:00,1921.56,1923.37,1921.5,1923.12,565,29,0
2425,2023-09-22 03:45:00,1923.19,1923.51,1922.96,1923.3,460,33,0
2426,2023-09-22 04:00:00,1923.26,1923.57,1921.89,1922.41,1054,32,0
2427,2023-09-22 04:15:00,1922.41,1923.83,1922.41,1923.61,944,33,0
2428,2023-09-22 04:30:00,1923.6,1923.93,1922.7,1923.39,1297,32,0
2429,2023-09-22 04:45:00,1923.43,1924.08,1923.31,1923.84,801,30,0
2430,2023-09-22 05:00:00,1923.83,1925.18,1923.67,1925.07,730,30,0
2431,2023-09-22 05:15:00,1925.07,1925.38,1924.54,1924.85,541,33,0
2432,2023-09-22 05:30:00,1924.85,1925.18,1924.44,1924.44,542,34,0
2433,2023-09-22 05:45:00,1924.43,1924.88,1923.29,1923.76,1165,34,0
2434,2023-09-22 06:00:00,1923.76,1924.45,1923.71,1924.36,734,29,0
2435,2023-09-22 06:15:00,1924.32,1924.36,1922.47,1922.49,1256,33,0
2436,2023-09-22 06:30:00,1922.46,1923.62,1922.46,1923.58,440,30,0
2437,2023-09-22 06:45:00,1923.57,1923.95,1923.44,1923.68,338,34,0
2438,2023-09-22 07:00:00,1923.66,1924.29,1923.59,1924.05,353,33,0
2439,2023-09-22 07:15:00,1924.06,1924.11,1923.25,1924.02,422,35,0
2440,2023-09-22 07:30:00,1924.07,1924.54,1923.71,1924.5,361,32,0
2441,2023-09-22 07:45:00,1924.51,1924.74,1923.72,1924.18,389,32,0
2442,2023-09-22 08:00:00,1924.18,1924.54,1923.85,1924.18,405,36,0
2443,2023-09-22 08:15:00,1924.26,1924.49,1923.67,1923.72,467,34,0
2444,2023-09-22 08:30:00,1923.72,1924.47,1923.55,1924.47,1073,29,0
2445,2023-09-22 08:45:00,1924.41,1924.97,1924.27,1924.58,559,33,0
2446,2023-09-22 09:00:00,1924.58,1925.54,1924.16,1925.24,906,34,0
2447,2023-09-22 09:15:00,1925.26,1925.78,1924.31,1925.45,929,32,0
2448,2023-09-22 09:30:00,1925.46,1925.96,1924.37,1924.66,1726,27,0
2449,2023-09-22 09:45:00,1924.65,1925.7,1924.49,1925.37,1285,30,0
2450,2023-09-22 10:00:00,1925.38,1926.11,1924.62,1925.93,1942,26,0
2451,2023-09-22 10:15:00,1926.12,1927.74,1926.12,1926.75,2338,26,0
2452,2023-09-22 10:30:00,1926.57,1927.75,1926.45,1927.49,1834,29,0
2453,2023-09-22 10:45:00,1927.48,1928.57,1926.98,1927.83,1408,31,0
2454,2023-09-22 11:00:00,1927.8,1927.83,1926.57,1926.68,1022,27,0
2455,2023-09-22 11:15:00,1926.67,1926.9,1926.24,1926.4,743,28,0
2456,2023-09-22 11:30:00,1926.53,1927.23,1926.21,1927.0,831,29,0
2457,2023-09-22 11:45:00,1927.0,1927.1,1926.35,1926.58,628,27,0
2458,2023-09-22 12:00:00,1926.58,1927.53,1926.29,1926.56,747,26,0
2459,2023-09-22 12:15:00,1926.48,1926.52,1925.51,1926.23,857,27,0
2460,2023-09-22 12:30:00,1926.22,1926.4,1925.22,1925.34,589,29,0
2461,2023-09-22 12:45:00,1925.33,1925.83,1925.04,1925.27,541,27,0
2462,2023-09-22 13:00:00,1925.26,1925.52,1924.58,1924.73,714,26,0
2463,2023-09-22 13:15:00,1924.74,1926.05,1924.74,1926.04,574,28,0
2464,2023-09-22 13:30:00,1926.04,1926.31,1924.88,1925.16,554,26,0
2465,2023-09-22 13:45:00,1925.16,1925.16,1924.19,1924.46,592,26,0
2466,2023-09-22 14:00:00,1924.48,1925.95,1924.38,1924.86,849,26,0
2467,2023-09-22 14:15:00,1924.86,1925.71,1924.61,1925.47,737,29,0
2468,2023-09-22 14:30:00,1925.54,1926.68,1925.47,1926.58,925,26,0
2469,2023-09-22 14:45:00,1926.59,1926.62,1925.36,1925.4,1165,26,0
2470,2023-09-22 15:00:00,1925.41,1926.44,1924.22,1924.67,1313,27,0
2471,2023-09-22 15:15:00,1924.67,1925.74,1924.32,1925.69,1928,26,0
2472,2023-09-22 15:30:00,1925.68,1926.19,1924.04,1925.17,1795,26,0
2473,2023-09-22 15:45:00,1925.23,1926.35,1925.2,1925.97,1742,30,0
2474,2023-09-22 16:00:00,1925.98,1927.35,1925.54,1927.21,1955,27,0
2475,2023-09-22 16:15:00,1927.19,1927.46,1925.76,1925.91,1874,27,0
2476,2023-09-22 16:30:00,1925.86,1926.99,1925.38,1926.81,2367,26,0
2477,2023-09-22 16:45:00,1926.77,1928.27,1924.76,1925.91,3271,26,0
2478,2023-09-22 17:00:00,1925.85,1927.76,1925.49,1926.95,2310,26,0
2479,2023-09-22 17:15:00,1926.95,1928.03,1925.83,1927.45,1860,26,0
2480,2023-09-22 17:30:00,1927.48,1928.99,1926.6,1927.98,2468,26,0
2481,2023-09-22 17:45:00,1927.98,1928.6,1927.6,1928.05,1462,27,0
2482,2023-09-22 18:00:00,1928.04,1928.37,1926.59,1927.29,1575,26,0
2483,2023-09-22 18:15:00,1927.31,1927.69,1926.51,1927.27,1043,27,0
2484,2023-09-22 18:30:00,1927.27,1927.89,1926.89,1927.85,936,26,0
2485,2023-09-22 18:45:00,1927.84,1928.67,1927.51,1927.59,974,28,0
2486,2023-09-22 19:00:00,1927.59,1928.4,1927.37,1927.95,857,29,0
2487,2023-09-22 19:15:00,1927.91,1928.12,1926.54,1926.56,834,30,0
2488,2023-09-22 19:30:00,1926.55,1926.87,1926.07,1926.39,580,29,0
2489,2023-09-22 19:45:00,1926.39,1926.39,1924.77,1925.19,530,27,0
2490,2023-09-22 20:00:00,1925.19,1925.68,1924.47,1925.46,562,29,0
2491,2023-09-22 20:15:00,1925.47,1926.25,1925.46,1925.61,828,29,0
2492,2023-09-22 20:30:00,1925.6,1925.75,1924.92,1925.29,694,29,0
2493,2023-09-22 20:45:00,1925.29,1925.59,1925.2,1925.42,488,29,0
2494,2023-09-22 21:00:00,1925.44,1925.82,1925.05,1925.2,567,27,0
2495,2023-09-22 21:15:00,1925.19,1925.28,1924.85,1925.0,434,29,0
2496,2023-09-22 21:30:00,1925.04,1925.12,1924.26,1924.35,354,29,0
2497,2023-09-22 21:45:00,1924.35,1925.22,1924.18,1924.87,410,31,0
2498,2023-09-22 22:00:00,1924.87,1924.99,1924.36,1924.93,271,31,0
2499,2023-09-22 22:15:00,1924.9,1924.95,1924.57,1924.84,435,26,0
2500,2023-09-22 22:30:00,1924.84,1925.11,1924.76,1924.92,367,28,0
2501,2023-09-22 22:45:00,1924.94,1925.51,1924.92,1925.29,359,26,0
2502,2023-09-22 23:00:00,1925.28,1925.48,1925.03,1925.2,218,31,0
2503,2023-09-22 23:15:00,1925.14,1925.22,1924.54,1924.54,146,34,0
2504,2023-09-22 23:30:00,1924.53,1925.13,1924.53,1924.96,177,35,0
2505,2023-09-22 23:45:00,1924.96,1925.34,1924.82,1925.17,233,30,0
2506,2023-09-25 01:00:00,1924.52,1926.37,1924.52,1926.05,415,26,0
2507,2023-09-25 01:15:00,1925.93,1925.98,1925.51,1925.92,329,33,0
2508,2023-09-25 01:30:00,1925.93,1926.14,1925.56,1925.7,304,31,0
2509,2023-09-25 01:45:00,1925.67,1925.78,1925.47,1925.59,96,37,0
2510,2023-09-25 02:00:00,1925.61,1925.61,1924.24,1924.91,571,30,0
2511,2023-09-25 02:15:00,1924.93,1925.28,1924.73,1925.04,174,26,0
2512,2023-09-25 02:30:00,1924.99,1925.66,1924.96,1925.11,211,26,0
2513,2023-09-25 02:45:00,1925.11,1925.11,1924.45,1924.68,353,26,0
2514,2023-09-25 03:00:00,1924.7,1924.83,1923.15,1924.15,583,26,0
2515,2023-09-25 03:15:00,1924.15,1924.25,1923.66,1923.96,383,35,0
2516,2023-09-25 03:30:00,1923.98,1924.66,1923.65,1924.62,374,35,0
2517,2023-09-25 03:45:00,1924.64,1924.99,1924.2,1924.72,362,31,0
2518,2023-09-25 04:00:00,1924.74,1925.2,1923.81,1924.16,820,28,0
2519,2023-09-25 04:15:00,1924.2,1924.53,1924.05,1924.17,523,33,0
